Step,Intersection,Total Cars,Waiting Cars,Average Speed,Waiting Time
29.0,tlsmoomen,0,0,22.22,0.0
29.0,tlsmoomen2,0,0,25.0,0.0
29.0,tlsmoomen3,0,0,25.93,0.0
29.0,tlsnasser_square,0,0,20.82,0.0
30.0,tlshoria_square1,0,0,22.22,0.0
30.0,tlshoria_square2,3,0,20.94,0.0
30.0,tlshoria_square3,0,0,22.22,0.0
30.0,tlslasilky_square,0,0,27.78,0.0
30.0,tlslasilky_square2,0,0,27.78,0.0
30.0,tlslasilky_square3,0,0,27.78,0.0
30.0,tlsmoomen,0,0,22.22,0.0
30.0,tlsmoomen2,0,0,25.0,0.0
30.0,tlsmoomen3,0,0,25.93,0.0
30.0,tlsnasser_square,0,0,20.82,0.0
31.0,tlshoria_square1,0,0,22.22,0.0
31.0,tlshoria_square2,3,0,21.01,0.0
31.0,tlshoria_square3,0,0,22.22,0.0
31.0,tlslasilky_square,0,0,27.78,0.0
31.0,tlslasilky_square2,0,0,27.78,0.0
31.0,tlslasilky_square3,0,0,27.78,0.0
31.0,tlsmoomen,0,0,22.22,0.0
31.0,tlsmoomen2,0,0,25.0,0.0
31.0,tlsmoomen3,0,0,25.93,0.0
31.0,tlsnasser_square,0,0,20.82,0.0
32.0,tlshoria_square1,0,0,22.22,0.0
32.0,tlshoria_square2,3,0,20.78,0.0
32.0,tlshoria_square3,0,0,22.22,0.0
32.0,tlslasilky_square,0,0,27.78,0.0
32.0,tlslasilky_square2,0,0,27.78,0.0
32.0,tlslasilky_square3,0,0,27.78,0.0
32.0,tlsmoomen,0,0,22.22,0.0
32.0,tlsmoomen2,0,0,25.0,0.0
32.0,tlsmoomen3,0,0,25.93,0.0
32.0,tlsnasser_square,0,0,20.82,0.0
33.0,tlshoria_square1,0,0,22.22,0.0
33.0,tlshoria_square2,4,0,21.05,0.0
33.0,tlshoria_square3,0,0,22.22,0.0
33.0,tlslasilky_square,0,0,27.78,0.0
33.0,tlslasilky_square2,0,0,27.78,0.0
33.0,tlslasilky_square3,0,0,27.78,0.0
33.0,tlsmoomen,0,0,22.22,0.0
33.0,tlsmoomen2,0,0,25.0,0.0
33.0,tlsmoomen3,0,0,25.93,0.0
33.0,tlsnasser_square,0,0,20.82,0.0
34.0,tlshoria_square1,0,0,22.22,0.0
34.0,tlshoria_square2,5,0,21.01,0.0
34.0,tlshoria_square3,0,0,22.22,0.0
34.0,tlslasilky_square,0,0,27.78,0.0
34.0,tlslasilky_square2,0,0,27.78,0.0
34.0,tlslasilky_square3,0,0,27.78,0.0
34.0,tlsmoomen,0,0,22.22,0.0
34.0,tlsmoomen2,0,0,25.0,0.0
34.0,tlsmoomen3,0,0,25.93,0.0
34.0,tlsnasser_square,0,0,20.82,0.0
35.0,tlshoria_square1,0,0,22.22,0.0
35.0,tlshoria_square2,5,0,21.26,0.0
35.0,tlshoria_square3,0,0,22.22,0.0
35.0,tlslasilky_square,0,0,27.78,0.0
35.0,tlslasilky_square2,0,0,27.78,0.0
35.0,tlslasilky_square3,0,0,27.78,0.0
35.0,tlsmoomen,0,0,22.22,0.0
35.0,tlsmoomen2,0,0,25.0,0.0
35.0,tlsmoomen3,0,0,25.93,0.0
35.0,tlsnasser_square,0,0,20.82,0.0
36.0,tlshoria_square1,0,0,22.22,0.0
36.0,tlshoria_square2,4,0,21.27,0.0
36.0,tlshoria_square3,0,0,22.22,0.0
36.0,tlslasilky_square,0,0,27.78,0.0
36.0,tlslasilky_square2,0,0,27.78,0.0
36.0,tlslasilky_square3,0,0,27.78,0.0
36.0,tlsmoomen,0,0,22.22,0.0
36.0,tlsmoomen2,0,0,25.0,0.0
36.0,tlsmoomen3,0,0,25.93,0.0
36.0,tlsnasser_square,0,0,20.82,0.0
37.0,tlshoria_square1,0,0,22.22,0.0
37.0,tlshoria_square2,5,0,21.1,0.0
37.0,tlshoria_square3,0,0,22.22,0.0
37.0,tlslasilky_square,0,0,27.78,0.0
37.0,tlslasilky_square2,0,0,27.78,0.0
37.0,tlslasilky_square3,0,0,27.78,0.0
37.0,tlsmoomen,0,0,22.22,0.0
37.0,tlsmoomen2,0,0,25.0,0.0
37.0,tlsmoomen3,0,0,25.93,0.0
37.0,tlsnasser_square,0,0,20.82,0.0
38.0,tlshoria_square1,0,0,22.22,0.0
38.0,tlshoria_square2,5,0,21.07,0.0
38.0,tlshoria_square3,0,0,22.22,0.0
38.0,tlslasilky_square,0,0,27.78,0.0
38.0,tlslasilky_square2,0,0,27.78,0.0
38.0,tlslasilky_square3,0,0,27.78,0.0
38.0,tlsmoomen,0,0,22.22,0.0
38.0,tlsmoomen2,0,0,25.0,0.0
38.0,tlsmoomen3,0,0,25.93,0.0
38.0,tlsnasser_square,0,0,20.82,0.0
39.0,tlshoria_square1,0,0,22.22,0.0
39.0,tlshoria_square2,5,0,20.97,0.0
39.0,tlshoria_square3,0,0,22.22,0.0
39.0,tlslasilky_square,0,0,27.78,0.0
39.0,tlslasilky_square2,0,0,27.78,0.0
39.0,tlslasilky_square3,0,0,27.78,0.0
39.0,tlsmoomen,0,0,22.22,0.0
39.0,tlsmoomen2,0,0,25.0,0.0
39.0,tlsmoomen3,0,0,25.93,0.0
39.0,tlsnasser_square,0,0,20.82,0.0
40.0,tlshoria_square1,0,0,22.22,0.0
40.0,tlshoria_square2,6,0,20.86,0.0
40.0,tlshoria_square3,1,0,19.98,0.0
40.0,tlslasilky_square,0,0,27.78,0.0
40.0,tlslasilky_square2,0,0,27.78,0.0
40.0,tlslasilky_square3,0,0,27.78,0.0
40.0,tlsmoomen,0,0,22.22,0.0
40.0,tlsmoomen2,0,0,25.0,0.0
40.0,tlsmoomen3,0,0,25.93,0.0
40.0,tlsnasser_square,0,0,20.82,0.0
41.0,tlshoria_square1,0,0,22.22,0.0
41.0,tlshoria_square2,5,0,20.97,0.0
41.0,tlshoria_square3,1,0,18.85,0.0
41.0,tlslasilky_square,0,0,27.78,0.0
41.0,tlslasilky_square2,0,0,27.78,0.0
41.0,tlslasilky_square3,0,0,27.78,0.0
41.0,tlsmoomen,0,0,22.22,0.0
41.0,tlsmoomen2,0,0,25.0,0.0
41.0,tlsmoomen3,0,0,25.93,0.0
41.0,tlsnasser_square,0,0,20.82,0.0
42.0,tlshoria_square1,0,0,22.22,0.0
42.0,tlshoria_square2,5,0,21.34,0.0
42.0,tlshoria_square3,1,0,17.81,0.0
42.0,tlslasilky_square,0,0,27.78,0.0
42.0,tlslasilky_square2,0,0,27.78,0.0
42.0,tlslasilky_square3,0,0,27.78,0.0
42.0,tlsmoomen,0,0,22.22,0.0
42.0,tlsmoomen2,0,0,25.0,0.0
42.0,tlsmoomen3,0,0,25.93,0.0
42.0,tlsnasser_square,0,0,20.82,0.0
43.0,tlshoria_square1,0,0,22.22,0.0
43.0,tlshoria_square2,6,0,21.07,0.0
43.0,tlshoria_square3,1,0,17.05,0.0
43.0,tlslasilky_square,0,0,27.78,0.0
43.0,tlslasilky_square2,0,0,27.78,0.0
43.0,tlslasilky_square3,0,0,27.78,0.0
43.0,tlsmoomen,0,0,22.22,0.0
43.0,tlsmoomen2,0,0,25.0,0.0
43.0,tlsmoomen3,0,0,25.93,0.0
43.0,tlsnasser_square,0,0,20.82,0.0
44.0,tlshoria_square1,0,0,22.22,0.0
44.0,tlshoria_square2,5,0,20.82,0.0
44.0,tlshoria_square3,1,0,16.7,0.0
44.0,tlslasilky_square,0,0,27.78,0.0
44.0,tlslasilky_square2,0,0,27.78,0.0
44.0,tlslasilky_square3,0,0,27.78,0.0
44.0,tlsmoomen,0,0,22.22,0.0
44.0,tlsmoomen2,0,0,25.0,0.0
44.0,tlsmoomen3,0,0,25.93,0.0
44.0,tlsnasser_square,0,0,20.82,0.0
45.0,tlshoria_square1,0,0,22.22,0.0
45.0,tlshoria_square2,7,0,20.19,0.0
45.0,tlshoria_square3,1,1,16.69,1.0
45.0,tlslasilky_square,0,0,27.78,0.0
45.0,tlslasilky_square2,0,0,27.78,0.0
45.0,tlslasilky_square3,0,0,27.78,0.0
45.0,tlsmoomen,0,0,22.22,0.0
45.0,tlsmoomen2,0,0,25.0,0.0
45.0,tlsmoomen3,0,0,25.93,0.0
45.0,tlsnasser_square,0,0,20.82,0.0
46.0,tlshoria_square1,0,0,22.22,0.0
46.0,tlshoria_square2,7,0,19.32,0.0
46.0,tlshoria_square3,0,0,22.22,0.0
46.0,tlslasilky_square,0,0,27.78,0.0
46.0,tlslasilky_square2,0,0,27.78,0.0
46.0,tlslasilky_square3,0,0,27.78,0.0
46.0,tlsmoomen,0,0,22.22,0.0
46.0,tlsmoomen2,0,0,25.0,0.0
46.0,tlsmoomen3,0,0,25.93,0.0
46.0,tlsnasser_square,0,0,20.82,0.0
47.0,tlshoria_square1,0,0,22.22,0.0
47.0,tlshoria_square2,6,0,18.34,0.0
47.0,tlshoria_square3,0,0,22.22,0.0
47.0,tlslasilky_square,0,0,27.78,0.0
47.0,tlslasilky_square2,0,0,27.78,0.0
47.0,tlslasilky_square3,0,0,27.78,0.0
47.0,tlsmoomen,0,0,22.22,0.0
47.0,tlsmoomen2,0,0,25.0,0.0
47.0,tlsmoomen3,1,0,22.13,0.0
47.0,tlsnasser_square,0,0,20.82,0.0
48.0,tlshoria_square1,1,0,22.02,0.0
48.0,tlshoria_square2,8,0,18.37,0.0
48.0,tlshoria_square3,0,0,22.22,0.0
48.0,tlslasilky_square,0,0,27.78,0.0
48.0,tlslasilky_square2,0,0,27.78,0.0
48.0,tlslasilky_square3,0,0,27.78,0.0
48.0,tlsmoomen,0,0,22.22,0.0
48.0,tlsmoomen2,0,0,25.0,0.0
48.0,tlsmoomen3,1,0,20.63,0.0
48.0,tlsnasser_square,0,0,20.82,0.0
49.0,tlshoria_square1,1,0,22.22,0.0
49.0,tlshoria_square2,9,1,17.84,1.0
49.0,tlshoria_square3,0,0,22.22,0.0
49.0,tlslasilky_square,0,0,27.78,0.0
49.0,tlslasilky_square2,0,0,27.78,0.0
49.0,tlslasilky_square3,0,0,27.78,0.0
49.0,tlsmoomen,0,0,22.22,0.0
49.0,tlsmoomen2,0,0,25.0,0.0
49.0,tlsmoomen3,0,0,25.93,0.0
49.0,tlsnasser_square,0,0,20.82,0.0
50.0,tlshoria_square1,2,0,16.98,0.0
50.0,tlshoria_square2,9,1,16.49,2.0
50.0,tlshoria_square3,1,0,18.62,0.0
50.0,tlslasilky_square,0,0,27.78,0.0
50.0,tlslasilky_square2,0,0,27.78,0.0
50.0,tlslasilky_square3,0,0,27.78,0.0
50.0,tlsmoomen,0,0,22.22,0.0
50.0,tlsmoomen2,0,0,25.0,0.0
50.0,tlsmoomen3,0,0,25.93,0.0
50.0,tlsnasser_square,0,0,20.82,0.0
51.0,tlshoria_square1,2,0,16.13,0.0
51.0,tlshoria_square2,10,1,15.76,3.0
51.0,tlshoria_square3,1,0,19.23,0.0
51.0,tlslasilky_square,0,0,27.78,0.0
51.0,tlslasilky_square2,0,0,27.78,0.0
51.0,tlslasilky_square3,0,0,27.78,0.0
51.0,tlsmoomen,0,0,22.22,0.0
51.0,tlsmoomen2,0,0,25.0,0.0
51.0,tlsmoomen3,0,0,25.93,0.0
51.0,tlsnasser_square,0,0,20.82,0.0
52.0,tlshoria_square1,1,0,18.07,0.0
52.0,tlshoria_square2,10,3,14.68,6.0
52.0,tlshoria_square3,0,0,22.22,0.0
52.0,tlslasilky_square,0,0,27.78,0.0
52.0,tlslasilky_square2,0,0,27.78,0.0
52.0,tlslasilky_square3,0,0,27.78,0.0
52.0,tlsmoomen,0,0,22.22,0.0
52.0,tlsmoomen2,0,0,25.0,0.0
52.0,tlsmoomen3,0,0,25.93,0.0
52.0,tlsnasser_square,0,0,20.82,0.0
53.0,tlshoria_square1,1,0,16.8,0.0
53.0,tlshoria_square2,10,4,13.62,10.0
53.0,tlshoria_square3,1,0,18.74,0.0
53.0,tlslasilky_square,0,0,27.78,0.0
53.0,tlslasilky_square2,0,0,27.78,0.0
53.0,tlslasilky_square3,0,0,27.78,0.0
